City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Baoqing,CN,2022-09-29 18:26:32,46.3317,132.2111,54.5,77,28,7.94
92,Laguna,US,2022-09-29 18:26:32,38.421,-121.4238,84.09,58,0,5.75
93,Bengkulu,ID,2022-09-29 18:26:33,-3.8004,102.2655,75.07,91,80,5.39
94,Salinopolis,BR,2022-09-29 18:27:33,-0.6136,-47.3561,84.83,67,38,13.78
95,Mataura,NZ,2022-09-29 18:27:33,-46.1927,168.8643,29.77,97,5,2.28
96,Cururupu,BR,2022-09-29 18:27:34,-1.8283,-44.8683,86.83,56,49,7.85
97,Nemuro,JP,2022-09-29 18:27:35,43.3236,145.575,57.81,74,16,4.99
98,Iqaluit,CA,2022-09-29 18:27:35,63.7506,-68.5145,31.73,86,100,15.01
99,Beloha,MG,2022-09-29 18:27:35,-25.1667,45.05,68.23,69,0,13.33
100,Cidreira,BR,2022-09-29 18:27:36,-30.1811,-50.2056,63.01,57,90,12.01
101,Hukuntsi,BW,2022-09-29 18:27:36,-24.0,21.75,77.23,20,1,11.07
102,Fortuna,US,2022-09-29 18:27:37,40.5982,-124.1573,68.94,76,0,5.99
103,Vila Velha,BR,2022-09-29 18:27:37,-20.3297,-40.2925,76.95,87,75,11.5
104,Seddon,AU,2022-09-29 18:27:38,-37.8068,144.8916,52.97,88,20,6.91
105,Slawno,PL,2022-09-29 18:27:38,54.3628,16.6789,51.46,77,63,4.25
106,Fairbanks,US,2022-09-29 18:27:38,64.8378,-147.7164,52.14,67,75,4.61
107,Yanam,IN,2022-09-29 18:27:40,16.7333,82.2167,78.44,85,100,2.3
108,Eyl,SO,2022-09-29 18:27:41,7.9803,49.8164,77.59,82,43,19.55
109,Ulladulla,AU,2022-09-29 18:27:41,-35.35,150.4667,56.19,79,88,14.72
110,Calama,CL,2022-09-29 18:27:41,-22.4667,-68.9333,68.49,4,0,26.46
111,San Policarpo,PH,2022-09-29 18:27:42,12.1791,125.5072,80.92,80,100,10.71
